Restaurant Name,Business Email,City,Region/State,Country,Website,Source URL,Needs Verification
L'Armandie,contact@armandie.com,Paris,Île-de-France,France,https://www.armandie.com,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=1&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Arlecchino,arlecchino32@gmail.com,Paris,Île-de-France,France,https://www.pizzaarlecchino.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=1&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Villa Dondelli,villa.dondelli@gmail.com,Paris,Île-de-France,France,https://www.villa-dondelli.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=2&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Tounsia,tounsiarestaurant@gmail.com,Paris,Île-de-France,France,https://www.tounsia.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=2&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
L'Evasion,restaurantlevasion@orange.fr,Paris,Île-de-France,France,https://www.restaurant-levasion.com,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=2&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Le Relais de l'Entrecote,restg@orange.fr,Paris,Île-de-France,France,https://www.relaisentrecote.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=2&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Au Pied de Cochon,reservationpieddecochon@blanc.net,Paris,Île-de-France,France,https://www.pieddecochon.com,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=2&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Dessirier,reservation@restaurantdessirier.com,Paris,Île-de-France,France,https://www.restaurantdessirier.com,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=2&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Sanki,sanki@orange.fr,Boulogne-Billancourt,Île-de-France,France,http://restaurant.sanki.free.fr,https://www.annuaire-france.net/Annuaire/Activite.php?pageNum_re_aff_dernier_anscri_index=40&totalRows_re_aff_dernier_anscri_index=798&activite=Restaurants,
Djakarta Bali,contact@djakarta-bali.com,Paris,Île-de-France,France,https://www.djakarta-bali.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?activite=Restaurants&ville=Paris,
Le Marivaux,lemarivauxparis@gmail.com,Paris,Île-de-France,France,https://www.lemarivaux.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?activite=Restaurants&ville=Paris,
Bal du Moulin Rouge,information@moulinrouge.fr,Paris,Île-de-France,France,https://www.moulinrouge.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?activite=Restaurants&ville=Paris,
Presto Fresco,contact@prestofresco.fr,Paris,Île-de-France,France,https://www.prestofresco.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?activite=Restaurants&ville=Paris,
Moom Mam,moommam.reservations@gmail.com,Paris,Île-de-France,France,https://www.moommam.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Vin et Maree,vin-et-maree@orange.fr,Paris,Île-de-France,France,https://vin-et-maree.restaurant,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Restaurant Bon,reservation@restaurantbon.fr,Paris,Île-de-France,France,https://www.restaurantbon.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Restaurant H,contact@restauranth.com,Paris,Île-de-France,France,https://www.restauranth.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Tresor,restaurantletresor@gmail.com,Paris,Île-de-France,France,https://www.restaurantletresor.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Spoon,restaurant.spoon@ducasse-paris.com,Paris,Île-de-France,France,https://www.spoon-restaurant.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Park Hyatt Paris Vendome,paris.vendome@hyatt.com,Paris,Île-de-France,France,https://www.parkhyattparisvendome.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Fratelli,pizzeria.fratelli@sfr.fr,Paris,Île-de-France,France,,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Zeyer,brasserielezeyer@wanadoo.fr,Paris,Île-de-France,France,https://www.brasserielezeyer.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Noura Opera,contact@noura.com,Paris,Île-de-France,France,https://www.noura.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Procope,c.boisguerin@groupe-bertrand.com,Paris,Île-de-France,France,https://www.procope.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Beurre Noisette,restaurantlebeurrenoisette@orange.fr,Paris,Île-de-France,France,https://www.restaurantbeurrenoisette.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Manko,contact@manko-restaurant.com,Paris,Île-de-France,France,https://www.manko-paris.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Jeroboam,yann.breizh@hotmail.fr,Paris,Île-de-France,France,https://www.lejeroboam.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
La Luna,contact@restaurantlaluna.com,Paris,Île-de-France,France,https://www.restaurantlaluna.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Clarence,h.desplanques@le-clarence.paris,Paris,Île-de-France,France,https://www.le-clarence.paris,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Restaurant Philippe Excoffier,restaurant.excoffier@gmail.com,Paris,Île-de-France,France,https://www.philippe-excoffier.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Grand Vefour,resa.gvefour@orange.fr,Paris,Île-de-France,France,https://www.grand-vefour.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
La Tour d'Argent,resa@tourdargent.com,Paris,Île-de-France,France,https://www.tourdargent.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Rural by Marc Veyrat,info@rural-paris.com,Paris,Île-de-France,France,https://www.rural-paris.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Cafe Rive Droite,caferivedroite@live.fr,Paris,Île-de-France,France,https://www.caferivedroite.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Cafe Prunier,info@prunier.com,Paris,Île-de-France,France,https://www.prunier.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Sofitel Paris Le Faubourg,h1295@sofitel.com,Paris,Île-de-France,France,https://www.sofitel-paris-lefaubourg.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Pizzeria Popolare,love@bigmamma.fr,Paris,Île-de-France,France,https://www.bigmammagroup.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Restaurant Pompei,fantilli.giampiero@gmail.com,Paris,Île-de-France,France,https://www.restaurant-pizzeria-paris8.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Neko Ramen,hello@nekoramen.fr,Paris,Île-de-France,France,https://www.nekoramen.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Coya Paris,info@coyarestaurant.com,Paris,Île-de-France,France,https://www.coyarestaurant.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Mesturet,contact@lemesturet.com,Paris,Île-de-France,France,https://www.lemesturet.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=1&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Rooftop Molitor,h7326-pr@accor.com,Paris,Île-de-France,France,https://www.mltr.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Hotel Le Crillon,crillon@rosewoodhotels.com,Paris,Île-de-France,France,https://www.rosewoodhotels.com/fr/hotel-de-crillon,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Due Torri,leduetorri@numericable.fr,Paris,Île-de-France,France,https://www.leduetorri.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Drouant,restaurant@drouant.com,Paris,Île-de-France,France,https://www.drouant.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Health Inside,contact@healthinside.fr,Paris,Île-de-France,France,https://www.restauranthealthinside.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Fouquet's,reception-fouquetsparis@groupebarriere.com,Paris,Île-de-France,France,https://www.hotelsbarriere.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Ballon des Ternes,commercial@restaurantsparisiens.com,Paris,Île-de-France,France,https://www.restaurantsparisiens.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
La Scene Theleme,jean-marie@lascenetheleme.fr,Paris,Île-de-France,France,https://www.lascenetheleme.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Grandcoeur,contact@grandcoeur.paris,Paris,Île-de-France,France,https://www.grandcoeur.paris,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Marcella,contact@marcella.fr,Paris,Île-de-France,France,https://www.marcella.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Pub Saint Germain,events@pubsaintgermain.com,Paris,Île-de-France,France,https://www.pubsaintgermain.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Novotel Paris Gare de Lyon,h1735@accor.com,Paris,Île-de-France,France,https://all.accor.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Cafe de Flore,secretariat@cafedeflore.fr,Paris,Île-de-France,France,https://www.cafedeflore.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Paradis Latin,paradislatin@paradislatin.com,Paris,Île-de-France,France,https://www.paradislatin.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Pataques,contact@pataques.fr,Paris,Île-de-France,France,https://www.pataques.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Kaiseki-Tenzo by Hissa,restaurantbyhissa@gmail.com,Paris,Île-de-France,France,https://www.tenzobyhissa.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Pratolina,info@pratolina.fr,Paris,Île-de-France,France,https://www.pratolina.paris,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Brasserie Mollard,espace.clients@mollard.fr,Paris,Île-de-France,France,https://www.mollard.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Bouillon Julien,contact@bouillon-julien.com,Paris,Île-de-France,France,https://www.bouillon-julien.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Sacre Frenchy,bonjour@sacrefrenchy.com,Paris,Île-de-France,France,https://www.sacrefrenchy.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Moghol,lemogholparis@gmail.com,Paris,Île-de-France,France,https://www.lemoghol.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Dalloyau,digital@dalloyau.fr,Paris,Île-de-France,France,https://www.dalloyau.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=2&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Chez Pippo,chezpippo31@gmail.com,Paris,Île-de-France,France,https://www.chezpippo.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Au Petit Marguery,contact@petitmarguery.com,Paris,Île-de-France,France,https://www.petitmarguery-rivegauche.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Buddha Bar,contact@buddhabar.com,Paris,Île-de-France,France,https://www.buddhabar.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Men Sae,mensae@gekt.fr,Paris,Île-de-France,France,https://www.mensae-restaurant.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Gran Caffe Convivium,convivium.paris@gmail.com,Paris,Île-de-France,France,https://www.grancaffeconvivium.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
M et Moi,contact@monmicrobioteetmoi.fr,Paris,Île-de-France,France,https://www.monmicrobioteetmoi.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Mama Shelter Paris East,contact@mamashelter.com,Paris,Île-de-France,France,https://www.mamashelter.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
L'Important,contactlimportantclub@gmail.com,Paris,Île-de-France,France,https://www.limportant-paris.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Jodhpur Palace,jodhpurpalace@gmail.com,Paris,Île-de-France,France,https://www.jodhpurpalace.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Sur un Arbre Perche,reservation@surunarbreperche.com,Paris,Île-de-France,France,https://www.surunarbreperche.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
14 Paradis,contact@14paradis.fr,Paris,Île-de-France,France,https://www.14paradis.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,yes
Chalet du Lac,contact@chaletdulac.fr,Paris,Île-de-France,France,https://www.chaletdulac.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Ocean Sushi,oceansushiparis19@gmail.com,Paris,Île-de-France,France,https://oceansushiparis19.wixsite.com/oceansushi,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
La Mascotte Montmartre,bienvenue@la-mascotte-montmartre.com,Paris,Île-de-France,France,https://www.la-mascotte-montmartre.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Les Princes,lesprinces.restaurant@gmail.com,Paris,Île-de-France,France,https://www.les-princes.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Maison Peret,contact@maisonperet.com,Paris,Île-de-France,France,https://www.maisonperet.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Grand Pan,contact@legrandpan.fr,Paris,Île-de-France,France,https://www.legrandpan.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Chez Bebert,chezbebert.couscous@gmail.com,Paris,Île-de-France,France,https://www.chezbebertcouscous.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Bistro du Parisien,bistrotparisien@orange.fr,Paris,Île-de-France,France,https://www.lebistroduparisien.eatbu.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Chez Paul,contact@chezpaul.com,Paris,Île-de-France,France,https://www.chezpaul.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Eataly Paris Marais,infobox@eataly.fr,Paris,Île-de-France,France,https://www.eataly.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Petit Villiers,lepetitvilliers@orange.fr,Paris,Île-de-France,France,https://www.lepetitvilliers.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Patio Opera,contact@lepatio-opera.com,Paris,Île-de-France,France,https://www.lepatio-opera.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=3&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Kirane,kiraneindia@yahoo.com,Paris,Île-de-France,France,https://restaurant-indien-paris-kiraneindia.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Les Fauves,rugir@lesfauves.paris,Paris,Île-de-France,France,https://www.lesfauves.paris,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
L'Ebauchoir,lebauchoir@orange.fr,Paris,Île-de-France,France,https://www.lebauchoir.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Restaurant Fontaine Gaillon,contact@lafontainegaillon.com,Paris,Île-de-France,France,https://www.lafontainegaillon.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Arnaud Nicolas,caulaincourt@arnaudnicolas.paris,Paris,Île-de-France,France,https://www.arnaudnicolas.paris,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Les Deux Magots,contact@lesdeuxmagots.fr,Paris,Île-de-France,France,https://www.lesdeuxmagots.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Laduree Champs-Elysees,contact@laduree.com,Paris,Île-de-France,France,https://www.laduree.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Le Bem,info@bem.com,Paris,Île-de-France,France,https://www.le-bem.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Nolinski Paris,booking@nolinski.com,Paris,Île-de-France,France,https://www.nolinskiparis.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
La Closerie des Lilas,closeriedeslilas@orange.fr,Paris,Île-de-France,France,https://www.closeriedeslilas.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Gili-Gili,hello@gili-gili.fr,Paris,Île-de-France,France,https://www.gili-gili.fr,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
Restaurant 404,info@404-resto.com,Paris,Île-de-France,France,https://www.404-resto.com,https://www.annuaire-france.net/Recherche/recherch_par_activite_ville.php?pageNum_Re_av=4&totalRows_Re_av=199&activite=Restaurants&ville=Paris,
