Restaurant Name,Business Email,City,Region/State,Country,Website,Source URL
Mourne Seafood Bar,belfast@mourneseafood.com,Belfast,Northern Ireland,United Kingdom,https://www.mourneseafood.com/,https://www.mourneseafood.com/contact/
Roam,info@roambelfast.com,Belfast,Northern Ireland,United Kingdom,https://roambelfast.com/,https://roambelfast.com/
terre à terre,mail@terreaterre.co.uk,Brighton,South East England,United Kingdom,https://terreaterre.co.uk/,https://terreaterre.co.uk/
Kindling,bookings@kindlingrestaurant.com,Brighton,South East England,United Kingdom,https://www.kindlingrestaurant.com/,https://www.kindlingrestaurant.com/contact
Burnt Orange,info@burnt-orange.co.uk,Brighton,South East England,United Kingdom,https://burnt-orange.co.uk/,https://burnt-orange.co.uk/
Gees,gabrijel.jozic@geesrestaurant.co.uk,Oxford,South East England,United Kingdom,https://www.geesrestaurant.co.uk/,https://www.geesrestaurant.co.uk/
The Wild Rabbit,guest.services@thewildrabbit.co.uk,Kingham,South East England,United Kingdom,https://thewildrabbit.co.uk/,https://thewildrabbit.co.uk/contact-us/
The Feathered Nest Inn,info@thefeatherednestinn.co.uk,Nether Westcote,South West England,United Kingdom,https://thefeatherednestinn.co.uk/,https://thefeatherednestinn.co.uk/contact/
Vanderlyle,hello@vanderlyle-restaurant.com,Cambridge,East of England,United Kingdom,https://www.vanderlyle-restaurant.com/,https://www.vanderlyle-restaurant.com/contact
Cresci Pizzeria,info@crescipizzeria.com,York,Yorkshire and the Humber,United Kingdom,https://www.crescipizzeria.com/,https://www.crescipizzeria.com/
Sotto Sotto,info@sottosotto.co.uk,Bath,South West England,United Kingdom,https://sottosotto.co.uk/,https://sottosotto.co.uk/
House of Tides,info@houseoftides.co.uk,Newcastle upon Tyne,North East England,United Kingdom,https://www.houseoftides.co.uk/,https://www.houseoftides.co.uk/contact
The Art School,eat@theartschoolrestaurant.co.uk,Liverpool,North West England,United Kingdom,https://theartschoolrestaurant.co.uk/,https://theartschoolrestaurant.co.uk/contact/
Pasture Birmingham,birmingham@pasturerestaurant.com,Birmingham,West Midlands,United Kingdom,https://pasturerestaurant.com/,https://pasturerestaurant.com/locations/pasture-birmingham/
Tattu,birmingham@tattu.co.uk,Birmingham,West Midlands,United Kingdom,https://tattu.co.uk/,https://tattu.co.uk/locations/birmingham/
Rick Stein's Seafood Restaurant,reservations@rickstein.com,Padstow,South West England,United Kingdom,https://rickstein.com/,https://rickstein.com/contact/
Seafood Shack,theseafoodshack@hotmail.com,Ullapool,Scotland,United Kingdom,http://www.seafoodshack.co.uk/,https://www.facebook.com/theseafoodshackullapool/
Benedicts,info@restaurantbenedicts.com,Norwich,East of England,United Kingdom,https://restaurantbenedicts.com/,https://restaurantbenedicts.com/contact-us/
Moonfish Cafe,info@moonfishcafe.co.uk,Aberdeen,Scotland,United Kingdom,https://www.moonfishcafe.co.uk/,https://www.moonfishcafe.co.uk/contact/
Ynyshir,info@ynyshir.co.uk,Machynlleth,Wales,United Kingdom,http://ynyshir.co.uk/,http://ynyshir.co.uk/
Beity,info@beityrestaurant.co.uk,Southampton,South East England,United Kingdom,https://beityrestaurant.co.uk/,https://beityrestaurant.co.uk/
Sant Yago,info@santyago.co.uk,Portsmouth,South East England,United Kingdom,https://www.santyago.co.uk/,https://www.santyago.co.uk/contact/
