Restaurant Name,Business Email,City,State,Website,Source URL
Blue Moon Cafe,bluemooncafe@citlink.net,Shepherdstown,WV,https://bluemooncafeshepherdstown.com/,https://bluemooncafeshepherdstown.com/
The Block,mail@theblockwv.com,Charleston,WV,https://www.theblockwv.com/,https://www.theblockwv.com/
The Pines Country Club,golf@thepinescc.com,Morgantown,WV,https://thepinescc.com/,https://thepinescc.com/dine/
Washoe Public House,Management@washoepublichouse.com,Reno,NV,https://washoepublichouse.com/,https://washoepublichouse.com/
The Bagel Cafe,Support@BagelCafe.info,Las Vegas,NV,https://www.thebagelcafelv.com/,https://www.thebagelcafelv.com/
Herbs & Rye,herbsandrye@infantryinc.com,Las Vegas,NV,https://www.herbsandrye.com/,https://www.herbsandrye.com/about
Yukon Pizza,yukonpizza@gmail.com,Las Vegas,NV,https://yukonpizza.com/,https://yukonpizza.com/visit-yukonpizza
Sassafras Eclectic Food Joint,SassafrasCarsonCity@gmail.com,Carson City,NV,https://www.sassafrascarsoncity.com/,https://www.sassafrascarsoncity.com/
Eureka! Henderson,guestservices@eurekarestaurantgroup.com,Henderson,NV,https://eurekarestaurantgroup.com/locations/henderson,https://eurekarestaurantgroup.com/locations/henderson
Three22 Kitchen and Cocktails,info@three22kitchen.com,Aberdeen,SD,https://three22kitchen.com/,https://three22kitchen.com/
Roma Ristorante Italiano,raffi0165@gmail.com,Aberdeen,SD,https://romaaberdeen.com/,https://romaaberdeen.com/
Ely's Ivy Restaurant & Bar,info@elysivy.com,Grand Forks,ND,https://elysivy.com/,https://elysivy.com/
S & R Truck Plaza & Café,jtp@daktel.com,Jamestown,ND,https://www.sandrtruckplaza.com/,https://www.sandrtruckplaza.com/
The Club Tavern & Grill,theclub@grantreeinn.com,Bozeman,MT,https://www.theclubtavernandgrill.com/,https://www.theclubtavernandgrill.com/
The Block Bar & Grill,theblock@theblockgf.com,Great Falls,MT,https://www.theblockgf.com/,https://www.theblockgf.com/
The Celtic Cowboy,info@thecelticcowboy.com,Great Falls,MT,https://www.thecelticcowboy.com/,https://www.thecelticcowboy.com/
The Hopper Helena,thehopperhelena@gmail.com,Helena,MT,https://www.hopperhelena.com/,https://www.hopperhelena.com/
On Broadway,info@onbroadwayhelena.com; info@onbroadwayinhelena.com,Helena,MT,https://www.onbroadwayinhelena.com/,https://www.onbroadwayinhelena.com/
DeSoto Grill,desotogrill@gmail.com,Kalispell,MT,https://desotogrill.com/,https://desotogrill.com/
The Salty Calf,saltycalfmt@gmail.com,Kalispell,MT,https://www.thesaltycalfmt.com/,https://www.thesaltycalfmt.com/
Whiskey Butter,whiskeybuttercasper@gmail.com,Casper,WY,https://www.whiskeybuttercasper.com/,https://www.whiskeybuttercasper.com/
Gather,info@gatherjh.com,Jackson,WY,https://gatherjh.com/,https://gatherjh.com/contact/
Open Range,openrange@sheridaninn.com,Sheridan,WY,https://www.openrange307.com/,https://www.openrange307.com/
Le Rêve Restaurant & Raw Bar,info@lereve.restaurant,Sheridan,WY,https://lereve.restaurant/,https://lereve.restaurant/
Altitude Chophouse & Brewery,karenr@vcn.com,Laramie,WY,https://www.altitudechophouse.com/,https://www.altitudechophouse.com/contact/
Joy's Table,info@joystablekearney.com,Kearney,NE,https://www.joystablekearney.com/,https://www.joystablekearney.com/
Backroads Coffeehouse & Lunchbox,brcoffeehouse@gmail.com,Watertown,SD,https://backroadscoffeehouse.com/,https://backroadscoffeehouse.com/
Interurban Restaurant,norman@interurban.us,Norman,OK,http://www.interurban.us/,http://www.interurban.us/contact
The Standard,events@thestandardnorman.com,Norman,OK,https://www.thestandardnorman.com/,https://www.thestandardnorman.com/contact
The Monarch,info@themonarch.us,Stillwater,OK,https://www.themonarch.us/,https://www.themonarch.us/
Eggbert's,Eggberts003@gmail.com,Bartlesville,OK,https://eggbertsrestaurant.net/eggbertsbartlesville,https://eggbertsrestaurant.net/eggbertsbartlesville
NATV Restaurant,Natvrestaurant@gmail.com,Broken Arrow,OK,https://www.natvba.com/,https://www.natvba.com/
Soba Moldovan Restaurant,sobaalaska@gmail.com,Fairbanks,AK,https://sobarestaurant.com/,https://sobarestaurant.com/
Red Dog Saloon,manager@reddogsaloon.com,Juneau,AK,https://www.reddogsaloon.com/,https://www.reddogsaloon.com/
SPICE Juneau Indian Cuisine,info@spicejuneau.com,Juneau,AK,https://www.spicejuneau.com/,https://www.spicejuneau.com/contact-me/
Henry's Great Alaskan Restaurant,online@henrysgreatalaskan.com,Kodiak,AK,https://henrysgreatalaskan.com/,https://henrysgreatalaskan.com/
Zushi Alaska,newzushiak@gmail.com,Wasilla,AK,https://zushialaska.com/,https://zushialaska.com/
The Cookery,info@cookeryseward.com,Seward,AK,https://www.cookeryseward.com/,https://www.cookeryseward.com/
Baxter's on Cedar,baxtersoncedar@gmail.com,Sandpoint,ID,https://baxtersoncedar.com/,https://baxtersoncedar.com/
Parrilla Grill Cantina,social@parrillagrillhydepark.com,Boise,ID,https://parrillagrillcantina.com/,https://parrillagrillcantina.com/
Vine & Olive,info@vineandolivecda.com,Coeur d'Alene,ID,https://www.vineandolivecda.com/,https://www.vineandolivecda.com/
The SnakeBite Restaurant,snakebite@100proofidaho.com,Idaho Falls,ID,https://snakebiterestaurant.com/,https://snakebiterestaurant.com/contact
Copper Rill,copperrill@gmail.com,Idaho Falls,ID,https://copperrill.com/,https://copperrill.com/
The Breakfast Club,breakfastclub.moscow@gmail.com,Moscow,ID,https://thebreakfastclubmoscow.com/,https://thebreakfastclubmoscow.com/
Table Restaurant on 6th,manager@tableon6th.com,Bentonville,AR,https://tableon6th.com/,https://tableon6th.com/
Table Mesa Bistro,manager@tablemesabistro.com,Bentonville,AR,https://tablemesabistro.com/,https://tablemesabistro.com/
Eden Restaurant,hotelhale341@gmail.com,Hot Springs,AR,https://www.hotelhale.com/,https://www.hotelhale.com/Dining2.html
Neumeier's Whippoorwill Restaurant,office@papaspub.com,Fort Smith,AR,https://whippoorwillrestaurant.com/,https://whippoorwillrestaurant.com/
PIATTO Italian Restaurant,info@piattofs.com,Fort Smith,AR,https://www.piattofs.com/,https://www.piattofs.com/
Atlas The Restaurant,info@atlastherestaurant.com,Fayetteville,AR,https://www.atlastherestaurant.com/,https://www.atlastherestaurant.com/
Muriel's Jackson Square,info@muriels.com,New Orleans,LA,https://muriels.com/,https://muriels.com/
Pêche Seafood Grill,info@pecherestaurant.com,New Orleans,LA,https://www.pecherestaurant.com/,https://www.pecherestaurant.com/
BRQ Seafood & Barbeque,info@brqrestaurant.com,Baton Rouge,LA,https://www.brqrestaurant.com/,https://www.brqrestaurant.com/
Windrush Grill,windrushgrill@gmail.com,Shreveport,LA,https://windrushgrill.com/,https://windrushgrill.com/
The Pearl Shreveport,contact@thepearlshreveport.com,Shreveport,LA,https://thepearlshreveport.com/,https://thepearlshreveport.com/
Johnson's Boucanière,boucaniere@gmail.com,Lafayette,LA,https://www.johnsonsboucaniere.com/,https://www.johnsonsboucaniere.com/
Amigo's Mexican Restaurant,amigosonmaui@yahoo.com,Kihei,HI,https://amigoskihei.com/,https://amigoskihei.com/contact/
Miso Phat Sushi Lahaina,misophatsushilahaina@gmail.com,Lahaina,HI,https://misophatlahaina.com/,https://misophatlahaina.com/contact/
Onkee,onkee@onkeehi.com,Honolulu,HI,https://onkeehi.com/,https://onkeehi.com/
Merriman's Waimea,office@merrimanshawaii.com,Waimea,HI,https://www.merrimanshawaii.com/,https://www.merrimanshawaii.com/faq/
Hukilau Lanai,mod@hukilaulanai.biz,Kapaa,HI,https://www.hukilaukauai.com/,https://www.hukilaukauai.com/
Aina Kauai,eat@ainakauai.com,Kapaa,HI,https://www.ainakauai.com/,https://www.ainakauai.com/
Hawaii Dim Sum & Seafood Restaurant,hawaiidimsumseafood@gmail.com,Honolulu,HI,https://sites.google.com/view/hawaiidimsumseafood/home,https://sites.google.com/view/hawaiidimsumseafood/home
Martyrs Steakhouse,info@martyrssteakhouse.com,Taos,NM,https://www.martyrssteakhouse.com/,https://www.martyrssteakhouse.com/
El Sombrero Patio Cafe,info@elsombreropatiocafe.com,Las Cruces,NM,https://bestmexicanfoodinlascruces.com/,https://bestmexicanfoodinlascruces.com/
El Agave Mexican Restaurant,elagavefargo@gmail.com,Fargo,ND,https://elagavefargo.com/,https://elagavefargo.com/
Broadway Grill & Tavern,carla@broadwaygrillandtavern.com,Bismarck,ND,https://www.broadwaygrillandtavern.com/,https://www.broadwaygrillandtavern.com/contact.html
Laughing Sun Brewing Co.,info@laughingsunbrewing.com,Bismarck,ND,https://laughingsunbrewing.com/,https://laughingsunbrewing.com/
Tally's Silver Spoon,tallyssilverspoon@gmail.com,Rapid City,SD,https://www.tallyssilverspoon.com/,https://www.tallyssilverspoon.com/
The Depot Pub & Grill,thedepot@mitchelltelecom.net,Mitchell,SD,https://www.mitchelldepot.com/,https://www.mitchelldepot.com/
Darfons Restaurant,darfonsrestaurant@yahoo.com,Nashville,TN,https://www.darfonsrestaurant.com/,https://www.darfonsrestaurant.com/
Tailor Nashville,hi@tailornashville.com,Nashville,TN,https://www.tailornashville.com/,https://www.tailornashville.com/contact-hunter
Char Restaurant,private.dining.memphis@charrestaurant.com,Memphis,TN,https://memphis.charrestaurant.com/,https://memphis.charrestaurant.com/private-dining/
Southern Star Restaurant,southern.star.restaurant@gmail.com,Chattanooga,TN,https://southernstarrestaurant.com/,https://southernstarrestaurant.com/
Home Bar,homebarchatt@gmail.com,Chattanooga,TN,https://www.homebarchatt.com/,https://www.homebarchatt.com/
Elsie's Daughter,hello@elsiesdaughters.com,Chattanooga,TN,https://www.elsiesdaughters.com/,https://www.elsiesdaughters.com/contact
35 North,35northknoxville@gmail.com,Knoxville,TN,https://the35north.com/,https://the35north.com/
71 South,71southknox@gmail.com,Knoxville,TN,https://www.71southknox.com/,https://www.71southknox.com/
Two Hands Franklin,franklin@twohandshospitality.com,Franklin,TN,https://www.twohandshospitality.com/location/two-hands-franklin/,https://www.twohandshospitality.com/location/two-hands-franklin/
Ground,groundeats@gmail.com,Franklin,TN,https://www.groundrestaurant.com/,https://www.groundrestaurant.com/
Room Service Sammies & Salads,roomservicejackson@gmail.com,Jackson,MS,https://roomservicejackson.com/,https://roomservicejackson.com/jackson/
ForkLift Restaurant,hello@forkliftrestaurant.com,Tupelo,MS,https://forkliftrestaurant.com/,https://forkliftrestaurant.com/
Sake Sushi Hibachi Steak House,wenwucorp@gmail.com,Meridian,MS,https://www.sakesushimeridian.com/,https://www.sakesushimeridian.com/
C.C. Tomatoes,dougcdow@yahoo.com,Concord,NH,https://cctomatoes.com/,https://cctomatoes.com/contact/
Mama McDonough's Irish Pub,MamaMcDonoughs@yahoo.com,Keene,NH,https://mamamcdonoughsirishpubrestaurant.com/,https://mamamcdonoughsirishpubrestaurant.com/contact
Showroom,Info@ShowroomFrederick.com,Frederick,MD,https://www.showroomfrederick.com,https://www.showroomfrederick.com/contact
The Garage,thegaragemd@gmail.com,Frederick,MD,https://www.thegaragemd.com,https://www.thegaragemd.com/
Padminis,spice8000@gmail.com,Frederick,MD,https://padminis.com,https://padminis.com/
Genki Wagyu Shabu House,GenkiWagyuHouse@gmail.com,Rockville,MD,https://www.genkiwagyuhouse.com,https://www.genkiwagyuhouse.com/
eaThai Restaurant,eathairockville@gmail.com,Rockville,MD,https://eathairestaurantrockville.com,https://eathairestaurantrockville.com/
Chettinadu Indian Cuisine,Admin@chettinaduindiancuisine.com,Rockville,MD,https://chettinaduindiancuisine.com,https://chettinaduindiancuisine.com/
Commonwealth Indian Restaurant,CommonwealthIndian@gmail.com,Rockville,MD,https://commonwealthindian.com,https://commonwealthindian.com/
BT's Bethesda,info@btsbethesda.com,Bethesda,MD,https://btsbethesda.com,https://btsbethesda.com/
Guardado's Restaurant,reyna@guardados.com,Bethesda,MD,https://guardados.com,https://guardados.com/
