Restaurant Name,Business Email,City,State,Website,Source URL
Lago Asian Cuisine & Sushi Bar,preston@lagosushi.com,Milton,DE,https://www.lagosushi.com/,https://www.lagosushi.com/contact-us
Out of the Fire,amy@outofthefire.com,Easton,MD,https://www.outofthefire.com/,https://www.outofthefire.com/contact
Blue Ruin,info@blueruinbar.com,Cambridge,MD,https://www.blueruinbar.com/,https://www.blueruinbar.com/
Evolution Craft Brewing Company,events@southernboysconcepts.com,Salisbury,MD,https://www.evolutioncraftbrewing.com/,https://www.evolutioncraftbrewing.com/contact
Miracle Restaurant,info@miraclesagharbor.com,Sag Harbor,NY,https://www.miraclesagharbor.com/,https://www.miraclesagharbor.com/contact
Page Sag Harbor,info@pagerestaurantgroup.com,Sag Harbor,NY,https://pagesagharbor.com/,https://pagesagharbor.com/
Bell & Anchor,info@bellandanchor.com,Sag Harbor,NY,https://www.bellandanchor.com/,https://www.bellandanchor.com/
The Beacon,info@beaconsagharbor.com,Sag Harbor,NY,https://www.beaconsagharbor.com/,https://www.beaconsagharbor.com/
SEN,Info@senrestaurant.com,Sag Harbor,NY,https://tiptophospitality.com/sen/,https://tiptophospitality.com/sen/
FENIKS,inquiries@feniks.com,Southampton,NY,https://www.feniks.com/,https://www.feniks.com/home
Inlet Seafood Restaurant,info@inletseafood.com,Montauk,NY,https://inletseafood.com/,https://inletseafood.com/
Carter's Restaurant and Events,cartersrestaurant845@gmail.com,Beacon,NY,https://cartersbeaconny.com/,https://cartersbeaconny.com/
P&G's,beckjr.pngs@gmail.com,New Paltz,NY,https://pandgs.com/,https://pandgs.com/
RiverMarket Bar & Kitchen,info@rivermarketbarkitchen.com,Tarrytown,NY,https://rivermarketbarkitchen.com/,https://rivermarketbarkitchen.com/
Hudson House River Inn,hhriverinn@gmail.com,Cold Spring,NY,https://hudsonhouseinn.com/,https://hudsonhouseinn.com/contact-us-2/
La Dolce Vita Italian Restaurant,info@LaDolceVitaCorolla.com,Corolla,NC,https://www.ladolcevitacorolla.com,https://www.ladolcevitacorolla.com/contact/
Uncle Ike's Sandbar & Grill,northrup74@gmail.com,Corolla,NC,https://uncleikesobx.com,https://uncleikesobx.com/menus
Darrell's Seafood Restaurant,darrellsseafood@aol.com,Manteo,NC,https://darrellsseafood.com,https://darrellsseafood.com/locations
Blue Water Grill & Raw Bar,bluewatergrillpc@gmail.com,Manteo,NC,https://www.bluewatergrillobx.com,https://www.bluewatergrillobx.com/contact/contact-us/
Betty on Burke,keith@bettyonburke.com,Winston-Salem,NC,https://www.bettyonburke.com,https://www.bettyonburke.com/contact-2
Quanto Basta Italian Eatery & Wine Bar,Info@QuantoBastaNC.com,Winston-Salem,NC,https://www.quantobastanc.com,https://www.quantobastanc.com/contact
Print Works Bistro,printworksbistro@qwrh.com,Greensboro,NC,https://www.printworksbistro.com,https://www.printworksbistro.com/contact/
G Prime Restaurant,info@gprimewilmington.com,Wilmington,NC,https://www.gprimewilmington.com,https://www.gprimewilmington.com/
Henry's Restaurant & Bar,henrys@henrysrestaurant.com,Wilmington,NC,https://www.henrysrestaurant.com,https://www.henrysrestaurant.com/
Grille 3501,info@grille3501.com,Allentown,PA,https://www.grille3501.com,https://www.grille3501.com
3rd & Ferry Fish Market,tabithab@thirdandferry.com,Easton,PA,https://thirdandferry.com,https://kucdinteractive.com/tvankooten/restaurant/contact.html
Farmhouse Main Street,hello@farmhousepoconos.com,Stroudsburg,PA,https://farmhousepoconos.com,https://farmhousepoconos.com
Cafe Arielle,info@cafearielle.net,Jim Thorpe,PA,https://www.cafearielle.net,https://www.cafearielle.net/contact/
Mimmo's Italian Restaurant & Pizzeria,mimmos1997@gmail.com,Reading,PA,https://mimmos.org,https://mimmos.org/contact-mimmos/
Passerine,info@cafepasserine.com,Lancaster,PA,https://cafepasserine.com,https://cafepasserine.com/contact
Zoetropolis Cinema Stillhouse,info@zoetropolis.com,Lancaster,PA,https://zoetropolis.com,https://zoetropolis.com/contact/
Rockfish Public House,Robert@rockfishpublichouse.com,York,PA,https://rockfishpublichouse.com,https://rockfishpublichouse.com/contact-us/
Gather 256,gather256york@gmail.com,York,PA,https://www.gather256.com,https://www.gather256.com/about-contact
121 Artisan Bistro,121artisanbistro@gmail.com,Lake Charles,LA,https://www.121artisanbistro.com,https://www.121artisanbistro.com
Crying Eagle Lakefront,lakefrontinfo@cryingeagle.com,Lake Charles,LA,https://www.cryingeagle.com/lakefront,https://www.cryingeagle.com/lakefront/contact-us
The Bentley Room,molly@bentleyroomdining.com,Alexandria,LA,https://www.bentleyroomdining.com,https://www.bentleyroomdining.com
Waterfront Grill,waterfrontgrillcontact@gmail.com,Monroe,LA,https://www.waterfrontgrill.com,https://www.waterfrontgrill.com
Apero,info@visitapero.com,Monroe,LA,https://www.visitapero.com,https://www.visitapero.com/contact
Ponchatoulas,info@ponchatoulas.com,Ruston,LA,https://ponchatoulas.com,https://ponchatoulas.com/contact/
Beau Vines Steakhouse,info@beauvines.com,Ruston,LA,https://www.beauvines.com,https://www.beauvines.com/contact
Feliciana,info@felicianarestaurant.com,Covington,LA,https://www.felicianarestaurant.com,https://www.felicianarestaurant.com/contact
The Dakota,info@thedakotarestaurant.com,Covington,LA,https://thedakotarestaurant.com,https://thedakotarestaurant.com/about
Nuvolari's,info@nuvolaris.com,Mandeville,LA,https://nuvolaris.com,https://nuvolaris.com/contact-us/
Hideaway on Lee,contact@hideawayonlee.com,Lafayette,LA,https://www.hideawayonlee.com,https://www.hideawayonlee.com/our-story
Mercy Kitchen,manager@mercy-kitchen.com,Lafayette,LA,https://www.mercy-kitchen.com,https://www.mercy-kitchen.com/contact-us
Worthy Kitchen,info@worthykitchen.com,Woodstock,VT,https://www.worthyvermont.com,https://www.worthyvermont.com/contact-us
Noel's Specialty Foods & Catering,info@noelscatering.com,Rutland,VT,https://noelscatering.com,https://noelscatering.com/contact/
421 Craft Bar and Kitchen,421craftbar@gmail.com,Bennington,VT,https://the421craftbar.com,https://the421craftbar.com/
The Miller's Toll,millerstoll@yahoo.com,Bennington,VT,https://millerstoll.space,https://millerstoll.space/
Sea Dog Brewing Company,vcabrera@seadogbrewing.com,Exeter,NH,https://www.seadogbrewing.com/location/exeter/,https://www.seadogbrewing.com/location/exeter/
Cornicello,contact@ilcornicello.com,Exeter,NH,https://www.ilcornicello.com,https://www.ilcornicello.com/
Rambling House & TaleSpinner,rambler@ramblingtale.com,Nashua,NH,https://www.ramblingtale.com,https://www.ramblingtale.com/
Alburritos Mexican Restaurant & Tequila Bar,alburritos@gmail.com,Littleton,NH,https://alburritos603.com,https://alburritos603.com/
Mere Bulles,jenn@merebulles.com,Franklin,TN,https://www.merebulles.com/,https://www.merebulles.com/
1799 Kitchen & Bar Room,1799@harpethhotel.com,Franklin,TN,https://www.1799franklin.com/,https://www.1799franklin.com/contact
Five Senses Restaurant Bar & Catering,5sensesrestaurant@gmail.com,Murfreesboro,TN,https://www.fivesensesdining.com/,https://www.fivesensesdining.com/contact-us
Label Restaurant,labelrestaurant@gmail.com,Johnson City,TN,https://labelrestaurant.com/,https://labelrestaurant.com/
The Bagel Exchange,bagelexchange@gmail.com,Kingsport,TN,https://thebagelexchange.biz/,https://thebagelexchange.biz/contact/
The Shack BBQ & Grill,theshack2487@gmail.com,Kingsport,TN,https://www.theshackbbqgrill.net/,https://www.theshackbbqgrill.net/contact-us
Machiavelli's,machiavellisdowntown@gmail.com,Bristol,TN,https://machiavellisbristol.com/,https://machiavellisbristol.com/
Huck Finn's Catfish,info@huckfinnscatfish.com,Pigeon Forge,TN,https://www.huckfinnsrestaurant.com/,https://www.huckfinnsrestaurant.com/contact/
Shades Café & Steakhouse,shadessteakhouse@gmail.com,Middlesboro,KY,https://shadessteakhouse.com/,https://shadessteakhouse.com/
Rodney's on Broadway,erica@rodneysonbroadway.com,Georgetown,KY,https://rodneysonbroadway.com/,https://rodneysonbroadway.com/
Local Feed,localfeed.georgetown@gmail.com,Georgetown,KY,https://www.localfeedky.com/,https://www.localfeedky.com/contact
Namaste Indian Cuisine & Bar,jeetasingh56@yahoo.com,Elizabethtown,KY,https://namasteindiancuisineky.com/,https://namasteindiancuisineky.com/index.html
The Hungry Goats,thehungrygoats@gmail.com,Harlan,KY,https://thehungrygoat.neocities.org,https://thehungrygoat.neocities.org
Tres Hermanos Nuñez,admin1@treshermanosnunez.com,Ashland,KY,https://treshermanosnunez.com/,https://treshermanosnunez.com/contact-us/
Proud Mary BBQ,proudmarybbq@gmail.com,Lexington,KY,https://proudmarybbq.com/,https://proudmarybbq.com/
MeeshMeesh Mediterranean,Info@meeshmeesh.com,Louisville,KY,https://meeshmeesh.com/,https://meeshmeesh.com/contact
