restaurant_name,business_email,city,state,source_url,scheduled_at,subject,status,template_url,template_version,run_id,business_emails,email_count,email_sources,content_path,message_id
ORSO,dseube@orsoalaska.com,Anchorage,AK,http://www.orsoalaska.com/contact/,08/19/2026 12:00:00 Africa/Lagos,ORSO Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110607804155000,,,,,
In Bocca Al Lupo,juneaulupo@gmail.com,Juneau,AK,http://www.inboccaallupoak.com/location,08/19/2026 12:10:00 Africa/Lagos,In Bocca Al Lupo Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110620499155100,,,,,
The Fennec,info@thefennecbham.com,Birmingham,AL,https://thefennecbham.com/,08/19/2026 12:20:00 Africa/Lagos,The Fennec Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110631339155000,,,,,
Fried Green Tomato’s,info@eatfgt.com,Hoover,AL,http://eatfgt.com/,08/19/2026 12:30:00 Africa/Lagos,Fried Green Tomato’s Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110638296138300,,,,,
Tulum,tulum.mexcuisine@gmail.com,Spanish Fort,AL,https://www.tulumexicancuisine.com/menu,08/19/2026 12:40:00 Africa/Lagos,Tulum Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110648860138400,,,,,
North Side Tavern,info@nstavern.com,Broomfield,CO,https://www.nstavern.com/,08/19/2026 12:50:00 Africa/Lagos,North Side Tavern Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110655962155000,,,,,
Nonna's Italian Bistro,nonnasitalianbistroarapahoe@gmail.com,Centennial,CO,https://www.nonnasbistro.com/contact,08/19/2026 13:00:00 Africa/Lagos,Nonna's Italian Bistro Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110664244138300,,,,,
503 W,info@503w.co,Colorado Springs,CO,https://www.503w.co/,08/19/2026 13:10:00 Africa/Lagos,503 W Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110674228138300,,,,,
Butcher Block Cafe,butcherblockcafe@gmail.com,Commerce City,CO,https://www.butcherblockcafe.com/about-us,08/19/2026 13:20:00 Africa/Lagos,Butcher Block Cafe Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110681502138400,,,,,
DaSauce,jandee@dasaucepizza.com,Denver,CO,https://dasaucepizza.com/,08/19/2026 13:30:00 Africa/Lagos,DaSauce Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110690481155100,,,,,
King Dumpling 2,kingdumpling168@gmail.com,Denver,CO,https://www.kingdumplingco.com/,08/19/2026 13:40:00 Africa/Lagos,King Dumpling 2 Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110702142138300,,,,,
New Saigon Bakery and Deli,info@newsaigonbakery.com,Denver,CO,https://www.newsaigonbakery.com/,08/19/2026 13:50:00 Africa/Lagos,New Saigon Bakery and Deli Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110710468155000,,,,,
G's Tacos,info@gstacos.com,Westminster,CO,https://www.gstacos.com/,08/19/2026 14:00:00 Africa/Lagos,G's Tacos Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110718255138300,,,,,
Greens on the Go,alyssa@greensonthego.us,New Canaan,CT,https://www.greensonthego.us/,08/19/2026 14:10:00 Africa/Lagos,Greens on the Go Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110730256138300,,,,,
Market Place Kitchen & Bar,mpnewington@markethospitalitygroup.com,Newington,CT,https://www.marketplacekitchenbar.com/locations/newington,08/19/2026 14:20:00 Africa/Lagos,Market Place Kitchen & Bar Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110739564138400,,,,,
Doro Marketplace,dmp-avon@dororg.com,Plainville,CT,https://www.doromkpl.com/contact-us,08/19/2026 14:30:00 Africa/Lagos,Doro Marketplace Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110751535138400,,,,,
El Segundo,elsegundosono@gmail.com,Stamford,CT,https://www.elsegundorestaurants.com/norwalk/,08/19/2026 14:40:00 Africa/Lagos,El Segundo Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110760474155100,,,,,
Taco Guy,hola@tacoguyct.com,Stamford,CT,https://www.tacoguyct.com/,08/19/2026 14:50:00 Africa/Lagos,Taco Guy Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110770337138300,,,,,
Mario's Pizza & Restaurant,contact@mariospizzawp.com,White Plains,CT,https://www.mariospizzawp.com/,08/19/2026 15:00:00 Africa/Lagos,Mario's Pizza & Restaurant Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110779227155000,,,,,
Chuck Lager,info@chucklager.com,Wilmington,DE,https://www.chucklager.com/pikecreek,08/19/2026 15:10:00 Africa/Lagos,Chuck Lager Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110789231138400,,,,,
Kabab & Curry,kababandcurrydelaware@gmail.com,Wilmington,DE,https://kababandcurrydelaware.com/,08/20/2026 12:00:00 Africa/Lagos,Kabab & Curry Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110802622155300,,,,,
Da Seafood Cartel,daseafoodcartel@gmail.com,Aiea,HI,https://daseafoodcartel.com/,08/20/2026 12:10:00 Africa/Lagos,Da Seafood Cartel Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110804638155000,,,,,
Dixie Grill,dixiegrill@gmail.com,Aiea,HI,https://dixiegrill.com/,08/20/2026 12:20:00 Africa/Lagos,Dixie Grill Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110806505138400,,,,,
Yum Yum Pho,joanna80813@yahoo.com,Aiea,HI,https://www.yumyumphoaiea.com/contact,08/20/2026 12:30:00 Africa/Lagos,Yum Yum Pho Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110808409155000,,,,,
Nico’s Pier 38,toni@nicospier38.com,Honolulu,HI,https://nicospier38.com/contact/,08/20/2026 12:40:00 Africa/Lagos,Nico’s Pier 38 Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110810305155100,,,,,
Sura Hawaii 姜虎東,surahawaii@gmail.com,Honolulu,HI,https://www.surahawaii.com/,08/20/2026 12:50:00 Africa/Lagos,Sura Hawaii 姜虎東 Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110812781155300,,,,,
Bar Nico,barnicodsm@gmail.com,Des Moines,IA,https://www.barnicodsm.com/,08/20/2026 13:00:00 Africa/Lagos,Bar Nico Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110814527155000,,,,,
Bubba,info@bubbadsm.com,Des Moines,IA,https://www.bubbadsm.com/,08/20/2026 13:10:00 Africa/Lagos,Bubba Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110816393155100,,,,,
Centro,info@centrodining.com,Des Moines,IA,http://www.centrodesmoines.com/contact,08/20/2026 13:20:00 Africa/Lagos,Centro Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110818230155100,,,,,
Oak Park,info@oakparkdsm.com,Des Moines,IA,https://www.oakparkdsm.com/,08/20/2026 13:30:00 Africa/Lagos,Oak Park Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110820120155000,,,,,
Brazil Terra Grill Steakhouse,info@brazilterragrill.com,West Des Moines,IA,https://brazilterragrill.com/,08/20/2026 13:40:00 Africa/Lagos,Brazil Terra Grill Steakhouse Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110822019155300,,,,,
Kibrom's Ethiopian & Eritrean Food,kibromsfood@gmail.com,Boise,ID,https://kibromsfood.com/,08/20/2026 13:50:00 Africa/Lagos,Kibrom's Ethiopian & Eritrean Food Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110823919155100,,,,,
Toast & Thyme,toast.and.thyme1@gmail.com,Brownsburg,IN,https://www.toastthymebreakfastcafe.com/,08/20/2026 14:00:00 Africa/Lagos,Toast & Thyme Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110825968138400,,,,,
Lincoln Square Pancake House,contact@eatatlincolnsquare.com,Indianapolis,IN,https://www.eatatlincolnsquare.com/market-st/,08/20/2026 14:10:00 Africa/Lagos,Lincoln Square Pancake House Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110827810138400,,,,,
Sultana Cafe & Hookah Bar,sultanaindy@gmail.com,Indianapolis,IN,https://www.sultanaindy.com/contact,08/20/2026 14:20:00 Africa/Lagos,Sultana Cafe & Hookah Bar Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110829731155100,,,,,
The Riviera Club,info@rivi.org,Indianapolis,IN,https://rivi.org/,08/20/2026 14:30:00 Africa/Lagos,The Riviera Club Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110831625155300,,,,,
Verbena,info@verbenakc.com,Prairie Village,KS,https://verbenakc.com/,08/20/2026 14:40:00 Africa/Lagos,Verbena Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110833540138300,,,,,
Mr. Kabab,mrkabablexington@gmail.com,Lexington,KY,https://www.mrkabablexington.com/,08/20/2026 14:50:00 Africa/Lagos,Mr. Kabab Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110835637138300,,,,,
Attiki,info@attikineworleans.com,New Orleans,LA,https://attikineworleans.com/,08/20/2026 15:00:00 Africa/Lagos,Attiki Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110837519155100,,,,,
Meril,custserv.meril@emerillagasse.com,New Orleans,LA,https://bemeril.com/contact/,08/20/2026 15:10:00 Africa/Lagos,Meril Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110839482155100,,,,,
El Comalito,460westst@elcomalitorestaurantbar.com,Amherst,MA,https://elcomalitorestaurantbar.com/,08/21/2026 12:00:00 Africa/Lagos,El Comalito Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110841468155100,,,,,
Borrachito,borrachitoboston@thegarretgroup.com,Boston,MA,https://www.borrachito.com/,08/21/2026 12:10:00 Africa/Lagos,Borrachito Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110843309155100,,,,,
Jahunger Taste of Uyghur,cambridge@jahunger.com,Boston,MA,https://www.jahunger.com/,08/21/2026 12:20:00 Africa/Lagos,Jahunger Taste of Uyghur Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110845144155300,,,,,
Tavern in the Square,cardinfo@taverninthesquare.com,Burlington,MA,https://www.taverninthesquare.com/loyalty/,08/21/2026 12:30:00 Africa/Lagos,Tavern in the Square Collaboration Opportunity: 2026 Q3 Dining Experience - BEST EVER FOOD REVIEW SHOW,scheduled,https://files.manuscdn.com/user_upload_by_module/session_file/310519663368280410/znAcsqOoytNAlWAY.html,fixed_width_mobile_verified_v2,zoho-enriched-1787110846979155300,,,,,
